x,y
-2.536695834519813175e+00,-1.292510711057437867e+00
-2.423249751198887747e+00,-1.288464382149399512e+00
-1.897924955634920696e+00,-1.052036688473321879e+00
-1.832942806963320459e+00,-1.058249732607328575e+00
-1.745621313488156856e+00,-1.048874819352772159e+00
-1.705424981842708076e+00,-1.065667518674577874e+00
-1.642955863976551134e+00,-1.066947731830669044e+00
-1.584290941619946880e+00,-1.068617454157561264e+00
-1.550245411027221243e+00,-1.085493241813886955e+00
-1.509221315420578025e+00,-1.096513187997176786e+00
-1.461503057683509521e+00,-1.101321266999742754e+00
-1.406993375240440436e+00,-1.099263421168559685e+00
-1.457926006308427613e+00,-1.180604902353313390e+00
-8.223488240783467518e-01,-6.900324205361464402e-01
-7.079176358525097745e-01,-6.153832568923693902e-01
-7.219653086668841313e-01,-6.500603195504931486e-01
-6.691886878238290093e-01,-6.240283890013845758e-01
-6.574766826806128783e-01,-6.349176911149170266e-01
-6.233147110185743855e-01,-6.233145523054938186e-01
-5.960169886043623633e-01,-6.171935012848112079e-01
-5.196827978842197826e-01,-5.572914280764087458e-01
-5.205836844228201032e-01,-5.781666049340882241e-01
-5.619146614858272493e-01,-6.464087049616800140e-01
-5.425128150710759600e-01,-6.465414255076114003e-01
-5.125815250423522151e-01,-6.329852985968944523e-01
-5.088442939739248327e-01,-6.512908199303459877e-01
-4.477504303095697358e-01,-5.941847269314753932e-01
-4.840412653369954854e-01,-6.662254608676585477e-01
-4.505443705703223167e-01,-6.434438626765022207e-01
-4.258254808304191008e-01,-6.313120554274157525e-01
-4.305372380352494033e-01,-6.629690138269761501e-01
-4.173115231554235804e-01,-6.678378397430225766e-01
-3.893688938789782172e-01,-6.480184626424678740e-01
-3.817500773955001536e-01,-6.612103224736834983e-01
-3.776668083509158169e-01,-6.813287387289380659e-01
-3.312122759777694214e-01,-6.229194873023857770e-01
-3.409469785262088104e-01,-6.691458944224147887e-01
-3.237371831274227230e-01,-6.637593576381010108e-01
-3.034399999240203760e-01,-6.507289442724910611e-01
-2.836988933620832043e-01,-6.371979085036082457e-01
-2.783960113972647754e-01,-6.558596472290753043e-01
-2.665326796802233167e-01,-6.596912649535965345e-01
-2.499617331364007433e-01,-6.511723033604011057e-01
-2.387301575550885846e-01,-6.559054285321919142e-01
-2.261071665978391654e-01,-6.566625897857909511e-01
-2.132218189545891374e-01,-6.562289635725628845e-01
-2.023213236056083386e-01,-6.617628922587674989e-01
-1.874334978728235401e-01,-6.536579331750180799e-01
-1.739264896222816326e-01,-6.491021214193932742e-01
-1.624506394315258784e-01,-6.515535252008178846e-01
-1.507173050993143026e-01,-6.528279377502644865e-01
-1.398207110796632069e-01,-6.578042550740735850e-01
-1.274605017343713731e-01,-6.557269230126688830e-01
-1.148683613923408009e-01,-6.514502891779020421e-01
-1.038725776880947554e-01,-6.558250178536381148e-01
-9.213269008820147710e-02,-6.555574483204685832e-01
-8.079947109605263578e-02,-6.580580742086220569e-01
-6.919794108184852688e-02,-6.583734848711371157e-01
-5.778435539793915637e-02,-6.604770638196355570e-01
-4.617888504887900092e-02,-6.603873947971560243e-01
