x,y
-2.239158963075050579e+00,-3.908443568757191677e-02
-1.943315439628252816e+00,-6.786187014509402482e-02
-1.976287951431374035e+00,-1.035726575545564687e-01
-1.962208508757509628e+00,-1.372107800927764021e-01
-1.965990267989875306e+00,-1.720016536758708636e-01
-1.953738235743436302e+00,-2.053459552823842793e-01
-1.980129602983231596e+00,-2.431291311531232902e-01
-1.950333054763540241e+00,-2.741012238941945012e-01
-1.979821225599709411e+00,-3.135726597187354359e-01
-1.950904143105683275e+00,-3.439968209438198365e-01
-1.950493243252042763e+00,-3.791372608295141555e-01
-1.946513779738232364e+00,-4.137440552387648407e-01
-1.950201860212428917e+00,-4.502393514697776156e-01
-1.980858868240628512e+00,-4.938833545709746531e-01
-2.631182006494382275e+00,-7.050227826144153109e-01
-2.659811387926833692e+00,-7.626883232373318222e-01
-2.724990438439810259e+00,-8.331128515646838428e-01
-2.693867662330211576e+00,-8.752903288625210054e-01
-2.665889698409098507e+00,-9.179391013719937487e-01
-1.701935198388366821e+00,-7.577501354591718030e-01
-1.653558722950196458e+00,-7.710668622056002786e-01
-1.579181201697413384e+00,-7.702179074565488337e-01
-1.507137579725218890e+00,-7.679247304006300290e-01
-1.435231370010232155e+00,-7.631258393761385372e-01
-1.248082443940095709e+00,-6.918232026856804273e-01
-1.376980412152508881e+00,-7.949997934633220575e-01
-1.335895378121403798e+00,-8.026867067757058605e-01
-1.385286651925821122e+00,-8.656229413361313796e-01
-1.298681527298380933e+00,-8.433734224409894509e-01
-7.834405641230026696e-01,-5.284371949137361968e-01
-1.010424135827262759e+00,-7.075064135035012969e-01
-9.918549802731861931e-01,-7.206246395659667847e-01
-9.459838324237165308e-01,-7.128497661424462173e-01
-9.668892863552644990e-01,-7.554165097817056029e-01
-9.473410079975178588e-01,-7.671414278932832120e-01
-8.828662471642488851e-01,-7.408125550896028644e-01
-8.188600123454869983e-01,-7.118239690825821642e-01
-8.419831059571385445e-01,-7.581248023194944174e-01
-8.176535569399636660e-01,-7.624740841895749632e-01
